YouTuBe,#genre#
凤凰卫视资讯,https://www.youtube.com/watch?v=fN9uYWCjQaw&pp=ygUW5Yek5Yew6LWE6K6v5Y-wIOebtOaSrQ%3D%3D
中天新聞,https://www.youtube.com/watch?v=vr3XyVCR4T0
中天二台,https://m.youtube.com/watch?v=DM_PEM8GrIg&pp=ygUM5Lit5aSp5LqM5Y-w
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM&pp=ygUS5Y2O6KeG5paw6Ze755u05pKt
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
华视新闻,https://www.youtube.com/shorts/gCfObLMwAkM
华视新闻,https://www.youtube.com/shorts/MAF-CPKUgtw
华视戏剧频道,https://www.youtube.com/watch?v=Nnpig_Lis9w&pp=ygUM5Y2O6KeG55u05pKt
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8&pp=ygUS5Y2O6KeG5paw6Ze755u05pKt0gcJCX4JAYcqIYzv
三立直播,https://www.youtube.com/watch?v=hGJkDZDchYI&pp=ygUK5LiJ56uLbGl2ZQ%3D%3D
三立news+,https://www.youtube.com/watch?v=MV9mI0GChwo&pp=ygUK5LiJ56uLbmV3cw%3D%3D
三立新闻台Ⓨ,https://www.youtube.com/watch?v=uZ9KecuS0RA
三立inews,https://www.youtube.com/watch?v=pF507BLtbqU&pp=ygUL5LiJ56uLaW5ld3M%3D
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA&pp=ygUM5rCR6KeG5paw6Ze7
TVBS新聞台,https://www.youtube.com/watch?v=2mCSYvcfhtc&pp=ygUM5Y2O6KeG55u05pKt0gcJCX4JAYcqIYzv
TVBSNEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc&pp=ygUJdHZicyBuZXdz
tvbs56台直播,https://www.youtube.com/watch?v=o_-hSMgpAzs&pp=ygUQdHZicyA1NuWPsOebtOaSrQ%3D%3D
TVBS优选节目,https://www.youtube.com/watch?v=k0NEmbEK9DI&pp=ygUQdHZicyA1NuWPsOebtOaSrQ%3D%3D
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk&pp=ygUM5Y2O6KeG55u05pKt
東森財經,https://www.youtube.com/watch?v=1I2iq41Akmo&pp=ygUM5Lic5qOu6LSi57uP
寰宇新闻,https://www.youtube.com/watch?v=6IquAgfvYmc&pp=ygUM5Y2O6KeG55u05pKt
鏡新聞mnews,https://www.youtube.com/watch?v=5n0y6b0Q25o
TaiwanPlus,https://www.youtube.com/watch?v=dZp87qnWelE
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
中天亞洲,https://www.youtube.com/watch?v=PYtGQvNmadg
东京新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM
我們這一家,https://m.youtube.com/@Muse_Family/streams/1
中華一番,https://m.youtube.com/@Muse_Family/streams/2
蠟筆小新,https://m.youtube.com/@Muse_Family/streams/3
